,Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
12365,CSA,Central and South America,CHL,Chile,2017,Female,Age80_84,[80-84],4,0.05654509,0.0,2.59785807
12366,AS,Asia,TJK,Tajikistan,1987,Female,Age85_over,[85+],5,0.34411562,0.0,44.24778761
12367,AS,Asia,TJK,Tajikistan,1988,Female,Age80_84,[80-84],0,0.0,0.0,0.0
12368,AS,Asia,TJK,Tajikistan,1989,Female,Age75_79,[75-79],3,0.25252525,0.0,13.04347826
12369,AS,Asia,TJK,Tajikistan,1989,Female,Age85_over,[85+],3,0.19144863,0.0,26.08695652
12370,AS,Asia,TJK,Tajikistan,1990,Female,Age80_84,[80-84],2,0.19665683,0.0,15.26717557
12371,AS,Asia,TJK,Tajikistan,1991,Female,Age75_79,[75-79],1,0.09025271,0.0,4.31034483
12372,AS,Asia,TJK,Tajikistan,1991,Female,Age85_over,[85+],0,0.0,0.0,0.0
12373,AS,Asia,TJK,Tajikistan,1992,Female,Age80_84,[80-84],1,0.07974482,0.0,6.99300699
12374,AS,Asia,TJK,Tajikistan,1993,Female,Age75_79,[75-79],1,0.07955449,0.0,4.90196078
12375,AS,Asia,TJK,Tajikistan,1993,Female,Age85_over,[85+],1,0.05350455,0.0,8.92857143
12376,AS,Asia,TJK,Tajikistan,1994,Female,Age80_84,[80-84],2,0.14630578,0.0,13.88888889
12377,AS,Asia,TJK,Tajikistan,1995,Female,Age75_79,[75-79],0,0.0,0.0,0.0
12378,AS,Asia,TJK,Tajikistan,1995,Female,Age85_over,[85+],1,0.0499002,0.0,8.77192982
12379,AS,Asia,TJK,Tajikistan,1996,Female,Age80_84,[80-84],1,0.1010101,0.0,9.74563883
12380,AS,Asia,TJK,Tajikistan,1997,Female,Age75_79,[75-79],1,0.09460738,0.0,5.38097288
12381,AS,Asia,TJK,Tajikistan,1997,Female,Age85_over,[85+],1,0.0746826,0.0,10.83188908
12382,AS,Asia,TJK,Tajikistan,1998,Female,Age80_84,[80-84],0,0.0,0.0,0.0
12383,AS,Asia,TJK,Tajikistan,1999,Female,Age75_79,[75-79],2,0.1618123,0.0,9.71156648
12384,AS,Asia,TJK,Tajikistan,1999,Female,Age85_over,[85+],3,0.22590361,0.0,37.66478343
12385,AS,Asia,TJK,Tajikistan,2000,Female,Age80_84,[80-84],0,0.0,0.0,0.0
12386,AS,Asia,TJK,Tajikistan,2001,Female,Age75_79,[75-79],1,0.07849294,0.0,4.36090881
12387,AS,Asia,TJK,Tajikistan,2001,Female,Age85_over,[85+],1,0.08305648,0.0,12.05109665
12388,AS,Asia,TJK,Tajikistan,2002,Female,Age80_84,[80-84],0,0.0,0.0,0.0
12389,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,1989,Female,Age85_over,[85+],0,0.0,0.0,0.0
12390,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,1990,Female,Age80_84,[80-84],0,0.0,0.0,0.0
12391,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,1990,Female,Age85_over,[85+],0,0.0,0.0,0.0
12392,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,1991,Female,Age80_84,[80-84],0,0.0,0.0,0.0
12393,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,1991,Female,Age85_over,[85+],1,0.16286645,0.0,31.25
12394,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,1992,Female,Age80_84,[80-84],0,0.0,0.0,0.0
12395,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,1992,Female,Age85_over,[85+],0,0.0,0.0,0.0
12396,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,1993,Female,Age85_over,[85+],0,0.0,0.0,0.0
12397,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,1994,Female,Age85_over,[85+],0,0.0,0.0,0.0
12398,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,1995,Female,Age85_over,[85+],0,0.0,0.0,0.0
12399,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,1999,Female,Age75_79,[75-79],1,0.2020202,0.0,11.05950011
12400,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2000,Female,Age75_79,[75-79],3,0.60728745,0.0,32.32410301
12401,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2000,Female,Age80_84,[80-84],0,0.0,0.0,0.0
12402,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2000,Female,Age85_over,[85+],2,0.28050491,0.0,59.29439668
12403,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2001,Female,Age80_84,[80-84],0,0.0,0.0,0.0
12404,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2001,Female,Age85_over,[85+],1,0.13755158,0.0,27.06359946
12405,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2007,Female,Age75_79,[75-79],1,0.22988506,0.0,9.48586606
12406,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2007,Female,Age80_84,[80-84],0,0.0,0.0,0.0
12407,CSA,Central and South America,CHL,Chile,2016,Female,Age75_79,[75-79],7,0.12242043,0.0,3.38663248
12408,CSA,Central and South America,COL,Colombia,2018,Female,Age75_79,[75-79],2,0.0170838,0.0,0.48762648
12409,CSA,Central and South America,CRI,Costa Rica,2020,Female,Age75_79,[75-79],1,0.08613264,0.0,2.01243686
12410,CSA,Central and South America,CRI,Costa Rica,2020,Female,Age80_84,[80-84],0,0.0,0.0,0.0
12411,CSA,Central and South America,CRI,Costa Rica,2019,Female,Age75_79,[75-79],0,0.0,0.0,0.0
12412,CSA,Central and South America,CRI,Costa Rica,2019,Female,Age80_84,[80-84],0,0.0,0.0,0.0
12413,CSA,Central and South America,CRI,Costa Rica,2019,Female,Age85_over,[85+],0,0.0,0.0,0.0
12414,CSA,Central and South America,CRI,Costa Rica,2018,Female,Age85_over,[85+],0,0.0,0.0,0.0
12415,NAC,North America and the Caribbean,CUB,Cuba,2019,Female,Age75_79,[75-79],18,0.26599675,0.0,9.59974401
12416,NAC,North America and the Caribbean,CUB,Cuba,2018,Female,Age75_79,[75-79],23,0.34874905,0.0,12.66547721
